model_name,horizon,regime,n_obs,RMSE,MAE,MAPE,DA,R2_OOS
HistMean,1,0,1426,0.02220839922976627,0.016069413226789408,845101.190970049,47.40532959326788,-0.017729450957246096
RF,1,0,1426,0.02280879343163766,0.016663192365904245,1447305.495125986,47.19495091164095,-0.07350100270501136
Ridge,1,0,1426,0.023761167838561418,0.017245702509238545,1356720.8840955952,48.2468443197756,-0.1650200358285998
AR_Linear,1,0,1426,0.024619689169028527,0.01789187254027607,2230654.107328278,47.12482468443198,-0.25072825616121297
GBR,1,0,1426,0.02514393264297805,0.01831777470830123,3246954.4034432396,47.26507713884993,-0.30456054482961004
HistMean,1,1,104,0.07645976668844974,0.04796977375433475,100.94752236989011,48.07692307692308,-0.08825396308678157
RF,1,1,104,0.0883984417616529,0.053593247509086124,122.81474217368162,52.88461538461539,-0.4546333477257529
Ridge,1,1,104,0.1371474591100819,0.06758173441107386,141.76945886011165,51.92307692307693,-2.501384883279148
GBR,1,1,104,0.13781948799452612,0.07540871032158578,184.3974806032166,55.769230769230774,-2.5357828484273557
AR_Linear,1,1,104,0.307261275858712,0.12069403621754524,224.33980490387685,50.0,-16.574378662726655
HistMean,5,0,1426,0.020759401598637373,0.01521852947705498,979578.1742814061,46.70406732117812,-0.03180108890898725
RF,5,0,1426,0.021544680515875304,0.0156612315386767,1491347.9074012754,47.82608695652174,-0.11133869857966916
Ridge,5,0,1426,0.022374393506681356,0.016340737374324066,2554581.731836677,49.7194950911641,-0.19858507239416756
AR_Linear,5,0,1426,0.02355743184076863,0.017089540971671542,3414911.567949932,49.92987377279102,-0.3286855356064826
GBR,5,0,1426,0.023598178784660764,0.01718835251652269,4316062.319698172,50.210378681626935,-0.3332859264987693
HistMean,5,1,104,0.13526553979909198,0.0748471212047144,2620947.9939599745,37.5,-0.12332489129762791
RF,5,1,104,0.1463483679540364,0.08058605993122926,11809739.12695167,44.230769230769226,-0.3149426432420921
Ridge,5,1,104,0.14766587740068357,0.08969312840099875,25149206.47594671,42.30769230769231,-0.3387249049122454
GBR,5,1,104,0.1859843416903512,0.10454599872983704,13022825.424167948,39.42307692307692,-1.1236542252010295
AR_Linear,5,1,104,0.2780946406869104,0.13606409543916595,14765942.009020554,41.34615384615385,-3.748060905663051
