date,actual_vol,debate_vol,single_vol,garch_vol,har_vol,persist_vol,debate_error,single_error,garch_error,har_error,persist_error,n_influence_edges,who,when,what,how,wti_vol_20d,intv_original,intv_random,intv_shapley,intv_myerson,intv_shapley_reduction,intv_myerson_reduction,intv_random_reduction,shapley_geopolitical,myerson_geopolitical,behavior_geopolitical,shapley_macro_demand,myerson_macro_demand,behavior_macro_demand,shapley_monetary,myerson_monetary,behavior_monetary,shapley_supply_opec,myerson_supply_opec,behavior_supply_opec,shapley_technical,myerson_technical,behavior_technical,shapley_sentiment,myerson_sentiment,behavior_sentiment,shapley_cross_market,myerson_cross_market,behavior_cross_market,degree_geopolitical,degree_macro_demand,degree_monetary,degree_supply_opec,degree_technical,degree_sentiment,degree_cross_market,beh_enc_geopolitical,beh_enc_macro_demand,beh_enc_monetary,beh_enc_supply_opec,beh_enc_technical,beh_enc_sentiment,beh_enc_cross_market,total_adj,n_herding,vol_regime,shapley_ma5_geopolitical,shapley_std5_geopolitical,herd_streak_geopolitical,shapley_ma5_macro_demand,shapley_std5_macro_demand,herd_streak_macro_demand,shapley_ma5_monetary,shapley_std5_monetary,herd_streak_monetary,shapley_ma5_supply_opec,shapley_std5_supply_opec,herd_streak_supply_opec,shapley_ma5_technical,shapley_std5_technical,herd_streak_technical,shapley_ma5_sentiment,shapley_std5_sentiment,herd_streak_sentiment,shapley_ma5_cross_market,shapley_std5_cross_market,herd_streak_cross_market,vol_change_5d,debate_har_gap,gat_pred,w_debate,w_har,w_persist,w_single,w_garch
2021-04-21,0.3154390985153765,0.4289236270741124,0.4285,0.351467530115555,0.4628310517993249,0.4176815010898605,0.0128787382221985,0.0127827674445157,0.0012980478835687,0.0217243878928576,0.0104535088842028,17,supply_opec,2,independent,supply_opec -> cross_market,0.4176815010898605,0.0128787382221985,0.0128405335787217,0.0125732171306134,0.0125732171306134,0.0237229056382652,0.0237229056382652,0.0029664896372352,0.0006267086795098,0.0006580908470003,independent,0.0001777430897641,0.0002698179127023,independent,0.0003097681363752,0.0002726197661758,independent,0.0006421348817971,0.0007582203742269,independent,0.0002563734477105,0.0003260795250056,independent,0.0006217119208703,0.0007452579021306,independent,-0.0002092108180317,-0.0001848692101762,herding,4.0,6.0,5.0,4.0,5.0,4.0,6.0,2,2,2,2,2,2,0,0.011242125984251894,1,2,0.0012665512651257999,0.0011241153741041248,2.0,-0.00020752849720169982,0.0012270447358305966,2.0,-0.00020289210253754004,0.0012775597102257347,2.0,-0.00018928027659638008,0.0014066591474835135,1.0,-0.00035233531591852,0.0012644653735844314,1.0,0.0003437814579422002,0.001525875020947791,0.0,-0.00018904338555885986,0.0013751314558905037,2.0,-0.09966900040355292,-0.033907424725212465,0.48553264141082764,0.31923559308052063,0.44863981008529663,0.14392392337322235,0.08467759191989899,0.0035230733919888735
2021-04-20,0.3270955584608291,0.4741669372454529,0.485,0.3519754574391356,0.4616238366074542,0.4722669372454529,0.0216299904576102,0.0249338126577974,0.0006190093731707,0.0180978576210957,0.0210747292182287,28,technical,2,herding,technical -> macro_demand,0.4722669372454529,0.0216299904576102,0.0214099473571348,0.0220380202163606,0.0220380202163606,-0.0188640748385895,-0.0188640748385895,0.0101730558275874,0.0008823756985762,0.0009164535604041,independent,0.0003803577114818,0.0004176369471578,herding,0.0002654765944842,0.0002900703267678,herding,-0.0008606071098621,-0.0008547285133876,herding,-0.001482408829425,-0.0015340024423466,independent,0.0007025081360432,0.0007581340239245,herding,0.0006675590380832,0.0006931808495153,independent,7.0,10.0,7.0,10.0,8.0,7.0,7.0,2,0,0,0,2,0,2,0.0019000000000000128,4,2,0.0010444713807596802,0.0010521565829218562,2.0,-0.0004693144514711598,0.0007790370719539775,3.0,-0.00035230266064662007,0.001135686744034842,2.0,-0.0007371872834414201,0.0008041989714295307,2.0,-0.00095074878604978,0.0007770203366303176,1.0,1.726234102024018e-05,0.0011116907309640935,1.0,-0.00031620223608727985,0.0012236849155711044,1.0,-0.07648386265720053,0.012543100637998683,0.49710553884506226,0.31769314408302307,0.5054095983505249,0.11718489974737167,0.05874558165669441,0.0009667685953900218
2021-04-26,0.3128174942104569,0.326568447611371,0.3245,0.352265829866612,0.3611649078149216,0.3292195769748207,0.0001890887194341,0.0001364809415227,0.0015561711860406,0.0023374724022411,0.000269028319009,10,geopolitical,2,anchored,geopolitical,0.3292195769748207,0.0001890887194341,0.0001867767520822,0.0001077979107645,0.000167572499441,0.4299082933810799,0.1137890195533818,0.0122268920048235,0.0001134140591113,0.0001112309689419,herding,-5.186511662482774e-05,-8.492845821784875e-05,anchored,-7.717307342496878e-05,-0.0001059746924341,anchored,-3.361583388638515e-05,-5.189620363378546e-05,anchored,-5.254787898746876e-05,-8.203009129187183e-05,anchored,8.530618611002054e-05,9.05923324865878e-05,herding,-6.345794187263983e-05,-9.203083524971948e-05,anchored,5.0,2.0,2.0,2.0,2.0,5.0,2.0,0,1,1,1,1,0,1,-0.002651129363449689,2,1,0.0004934290867909,0.0003351213328958055,2.0,-0.00016663423879420542,0.00048545654750475117,2.0,5.284914500940617e-05,0.0005808163315623492,2.0,-0.00046241464950821714,0.0007508604622997446,2.0,-0.0006533724341025538,0.0007799196535227106,0.0,0.0003371030002678443,0.0007232073680349625,2.0,9.772506023859207e-05,0.0006884261969768835,1.0,-0.21976378478057362,-0.034596460203550616,0.31923753023147583,0.3156569004058838,0.4253251552581787,0.15452517569065094,0.09767640382051468,0.006816308945417404
2021-04-27,0.3120651679300769,0.3011436034780211,0.2985,0.3529193537242929,0.3253431068087978,0.3014344198045517,0.0001192805700804,0.0001840137809711,0.0016690644969083,0.000176303660867,0.0001130128057083,15,geopolitical,2,anchored,cross_market -> sentiment,0.3014344198045517,0.0001192805700804,0.0001413736565828,0.0001417519850521,0.0001417519850521,-0.188391243910093,-0.188391243910093,-0.1852194912174815,-8.357363818136338e-05,-8.310501289153957e-05,independent,3.650533179275143e-05,5.340679137789057e-05,anchored,-4.664902153716693e-05,-5.5706811081634715e-05,herding,3.761888677436879e-05,4.657251568307667e-05,herding,4.122366853532671e-05,6.373187953612907e-05,anchored,-4.139547164742097e-05,-4.292217368751406e-05,herding,6.253800863555592e-05,8.913873479711711e-05,anchored,3.0,3.0,6.0,6.0,2.0,8.0,2.0,2,1,0,0,1,0,1,-0.0002908163265306074,3,1,0.0004423812630286873,0.00040792038312295495,1.0,-3.592539260651513e-05,0.0004170280424546576,2.0,0.0002194554339042728,0.0002961800872176026,3.0,-0.00021777291751306338,0.000648646500046562,3.0,-0.0005269131183151083,0.0008413859676455266,0.0,0.0004874991461917601,0.0004594285726083334,3.0,0.0002708973423389433,0.00048351037109768994,1.0,-0.17555503767122138,-0.024199503330776695,0.3051705062389374,0.3185189366340637,0.45342060923576355,0.14162372052669525,0.08284109830856323,0.0035955479834228754
2021-04-23,0.3133654417863354,0.366150752340955,0.3625,0.3518427092035243,0.4071391639461118,0.3694103872293932,0.0027862890103476,0.0024142048108519,0.0014805001078938,0.0087935109676989,0.0031410359097153,19,geopolitical,2,anchored,technical -> monetary,0.3694103872293932,0.0027862890103476,0.0027608737836164,0.0027330675196281,0.0027330675196281,0.0191012097172285,0.0191012097172285,0.0091215328477273,0.0002822255822321,0.0002700700000458,herding,-6.373176851411184e-05,-0.0001301499387104,anchored,-0.0002169011783053,-0.0002266166450147,independent,-0.0001763065647959,-0.000162228174856,independent,-0.0002496836028741,-0.0002921222506967,anchored,0.0002034348136422,0.0002083429586979,herding,-0.0001337841807526,-0.0001906318366105,anchored,7.0,3.0,5.0,9.0,4.0,7.0,3.0,0,1,2,2,1,0,1,-0.0032596348884381676,2,2,0.0003642300762496073,0.0003897215291897544,2.0,9.580184957994249e-05,0.00018605039009478741,1.0,4.690429151839277e-05,0.00022946241159538673,2.0,-7.815514799458338e-05,0.0005376034500204413,2.0,-0.0002974086390081484,0.0006869873291121387,0.0,0.0003143131170036601,0.0003303241476261402,4.0,6.472882121236324e-05,0.00035152924990704097,1.0,-0.1006060817869156,-0.040988411605156816,0.3934151232242584,0.31944572925567627,0.4695548117160797,0.13397933542728424,0.07465986162424088,0.0023603513836860657
2021-04-29,0.3129321235279211,0.303332235691371,0.3045,0.3570964500878585,0.3176672075946203,0.3009413266004619,9.21578464743422e-05,7.110070719012073e-05,0.0019504877404927,2.2421021118708657e-05,0.0001437792109555,10,geopolitical,2,anchored,geopolitical -> macro_demand,0.3009413266004619,9.21578464743422e-05,0.0001052225896949,9.04499000792641e-05,0.0001489640422918,0.0185328375219097,-0.6164010769641441,-0.1417648493364456,-6.219953957409429e-05,-8.057662625331098e-05,anchored,4.514788796393926e-05,5.1288438927936594e-05,herding,-4.971270144993641e-05,-6.744675524249843e-05,anchored,6.119614330472001e-05,6.394138986986654e-05,independent,3.74012336664903e-05,4.299512490054994e-05,anchored,-4.7837532892635505e-05,-6.460023551794225e-05,anchored,-3.561685549970601e-05,-5.190104926476251e-05,anchored,2.0,5.0,2.0,5.0,2.0,2.0,2.0,1,0,1,2,1,1,1,0.00239090909090911,1,1,0.00022644843243282845,0.0003954616841344628,2.0,6.928280921991035e-05,0.0001808273693983315,2.0,-2.499187604663452e-05,0.00017677962353261279,2.0,-0.0001943428956930594,0.0003837880175594272,2.0,-0.00034120308181695034,0.0006487757021127952,0.0,0.000180403226251073,0.0003096190984155228,4.0,9.944761371876206e-05,0.00032530393875610804,0.0,-0.11674017448939861,-0.014334971903249283,0.296030193567276,0.3161375820636749,0.43013623356819153,0.15237194299697876,0.09523995220661163,0.006114316638559103
2021-04-28,0.3100090196940195,0.2968756398019248,0.3055,0.6308080583096763,0.3062306786471243,0.3026725746678252,0.00017248566739,2.033125860105581e-05,0.1029120231767296,1.427586106665333e-05,5.382342562237099e-05,18,geopolitical,2,independent,geopolitical,0.3026725746678252,0.00017248566739,0.0001813985285056,0.0002009302477427,0.0002009302477427,-0.1649098199468385,-0.1649098199468385,-0.0516730534798072,-6.699732459620867e-05,-6.905590040244102e-05,herding,3.087021232691356e-05,3.897578447923484e-05,independent,3.537566025886145e-05,3.211780281252892e-05,anchored,3.371080949203306e-05,3.4816535037534256e-05,independent,5.379446693676943e-05,6.033194645518231e-05,independent,-5.885162554573529e-06,-6.481091567962728e-06,herding,3.779357990391043e-05,4.591718278730218e-05,anchored,6.0,5.0,5.0,5.0,5.0,6.0,4.0,0,2,1,2,2,0,1,-0.005796934865900438,2,1,3.657382779834673e-05,0.00015903441521914903,3.0,-6.146906110669398e-07,5.261601577417682e-05,1.0,-7.101206289170223e-05,9.177031146581101e-05,1.0,-1.547931182223277e-05,9.658228471044564e-05,1.0,-3.396242254459646e-05,0.00012779675094171894,0.0,3.872456653151828e-05,0.00010630329050607724,4.0,-2.6505477917095853e-05,7.908908459776609e-05,0.0,-0.16959436257762767,-0.009355038845199504,0.34727048873901367,0.31809693574905396,0.44148901104927063,0.14731943607330322,0.08879373967647552,0.004300900734961033
2021-04-30,0.3006946821880857,0.3164857888689888,0.3185,0.3566852243167453,0.3365276558373017,0.3016785262991564,0.0002493590502076,0.0003170293423832,0.0031349408078612,0.0012840020005454,9.679492348885346e-07,15,sentiment,2,herding,sentiment -> geopolitical,0.3016785262991564,0.0002493590502076,0.0002470626450755,0.0002259225169959,0.0002259225169959,0.0939870968879541,0.0939870968879541,0.0092092311477049,5.784500938706649e-05,4.764360754461272e-05,independent,1.890907786805867e-05,4.839035120330505e-05,independent,2.276346779529827e-05,1.528062978677635e-05,herding,3.1069039843200235e-05,5.447356987759446e-05,herding,2.9006082337381874e-05,5.466102159350171e-05,herding,5.841053606266062e-05,6.10368474312473e-05,anchored,3.038788767910801e-05,4.965640930667532e-05,herding,6.0,3.0,6.0,3.0,3.0,6.0,3.0,2,2,0,0,0,1,0,0.014807262569832391,4,1,2.5460017853500027e-05,0.00015419001188216448,2.0,1.3540148287510342e-05,4.423390812376031e-05,1.0,-5.102475464764881e-05,0.00010055544480130262,2.0,-2.542337076315693e-06,9.786922385492426e-05,2.0,-1.7651630279626333e-05,0.00013001676997542014,1.0,3.33454365220463e-05,0.00010401270740300029,3.0,-7.736312006746286e-06,7.926268939683508e-05,1.0,-0.027541050675664258,-0.020041866968312894,0.3250138759613037,0.31863319873809814,0.45505353808403015,0.1409720778465271,0.08189511299133301,0.0034460469614714384
2021-05-06,0.2954746689766874,0.2860498869306987,0.2785,0.3407922231387774,0.3356677965303436,0.281688163483805,8.882651661438948e-05,0.0002881393868681,0.0020536807152339,0.0016154875025444,0.0001900677337052,13,cross_market,2,anchored,macro_demand -> supply_opec,0.281688163483805,8.882651661438948e-05,9.480519866366836e-05,7.688483230462758e-05,7.688483230462758e-05,0.1344382822260465,0.1344382822260465,-0.0673074018565123,-6.17207625781489e-05,-7.312745851035355e-05,anchored,-5.204337786914995e-05,-7.479537979009535e-05,anchored,5.1661115350804035e-05,5.002065836908959e-05,independent,-2.0908021698201386e-05,-2.1578191232549336e-05,herding,-3.919484065462541e-05,-5.850621388892876e-05,anchored,-4.241524045613922e-05,-5.84266848251959e-05,anchored,6.337991081457352e-05,6.42339625941319e-05,herding,3.0,3.0,5.0,4.0,3.0,3.0,5.0,1,1,2,0,1,1,0,0.004361723446893728,2,1,2.983059297414292e-05,0.00015059455480760637,2.0,-4.169593644869934e-06,5.0080382797955906e-05,1.0,-3.136272727005462e-05,0.00011072246178040145,1.0,-1.4247718770829726e-05,9.533209661393643e-05,2.0,-3.3735332117616755e-05,0.00012581913971849662,1.0,3.3141482760302654e-05,0.00010419673944241273,2.0,-7.567931570942767e-06,7.94499700573501e-05,2.0,-0.019746256320746725,-0.049617909599644905,0.31197676062583923,0.3165189027786255,0.4307553768157959,0.15219850838184357,0.09466487169265747,0.0058623128570616245
2021-05-07,0.2968148663016089,0.2905394441750805,0.2895,0.3468151237961404,0.2875573391719716,0.2815298287904652,3.93809228661219e-05,5.350726901041398e-05,0.0025000257495194,8.570180855597041e-05,0.000233632371717,24,geopolitical,2,herding,geopolitical -> cross_market,0.2815298287904652,3.93809228661219e-05,4.371652866869955e-05,0.0001083545029555,0.0001083545029555,-1.7514465144422295,-1.7514465144422295,-0.110094062988743,-8.409522145787968e-05,-7.928574397598993e-05,independent,-1.1551083085612448e-05,-1.5163854264062868e-05,herding,5.6493728803613375e-05,5.511713051866883e-05,herding,-5.344208842972921e-05,-5.3097854589975096e-05,independent,-1.50782900296855e-05,-1.7874859261614815e-05,herding,-6.802429190942789e-05,-7.490076951844322e-05,independent,-1.8554202742227685e-05,-1.7163710490838073e-05,herding,5.0,7.0,6.0,7.0,7.0,10.0,6.0,2,0,0,2,0,2,0,0.00900961538461531,4,1,-4.343356776385301e-05,5.734229263612027e-05,1.0,6.2665434408299425e-06,3.871190995550142e-05,2.0,2.331625415172806e-05,4.2962597644630006e-05,2.0,1.0325176502404431e-05,4.638649508927634e-05,2.0,1.3185730451266137e-05,3.8821136935306417e-05,2.0,-2.1150338350022932e-05,4.9810963316367484e-05,1.0,1.5478064031131698e-05,4.118178601871136e-05,3.0,-0.087880558438928,0.002982105003108859,0.33583545684814453,0.3193942606449127,0.4784061014652252,0.1298595517873764,0.07049040496349335,0.0018497103592380881
