config,seed,rmse,mae,dm_hac,p_hac,gate,active_edges
Learned-H16,42,0.12261844425820208,0.09069464155774806,-2.737308401522867,0.006194419163652931,0.503763565267011,15.0
Learned-H16,123,0.13375744447094823,0.10115923714772361,-1.9852513521644095,0.04711651354590063,0.4982291282010157,16.8
Learned-H16,456,0.12435358962248294,0.09225003082779168,-2.63682112660906,0.008368694762808992,0.4992428164277533,16.333333333333332
Learned-H16,789,0.12756441128952759,0.09519148613910776,-2.444000802052767,0.014525394246863943,0.5070827686288307,16.266666666666666
Learned-H16,1024,0.12476352849901112,0.09127268293715345,-2.903638303647754,0.0036885401592188227,0.5073188774787685,14.666666666666666
SparsePrior-H16,42,0.13363211408084147,0.09905990898955226,-1.9087170737505355,0.056298599412489825,0.490405499377791,14.0
SparsePrior-H16,123,0.1283465479255785,0.09447806667388663,-2.5486672805888535,0.01081354123743572,0.49458364553839723,14.0
SparsePrior-H16,456,0.12625218228903715,0.09309934275244869,-2.4073940388584276,0.01606682390662728,0.4906818792633753,14.0
SparsePrior-H16,789,0.12322760899622047,0.09260301615723818,-2.4398055882426792,0.01469516792839154,0.49517152333023523,14.0
SparsePrior-H16,1024,0.12792844759759406,0.09686995137459771,-2.315874512328261,0.020565121327819735,0.4947917054195215,14.0
DensePrior-H16,42,0.13363211408084147,0.09905990898955226,-1.9087170737505355,0.056298599412489825,0.490405499377791,41.06666666666667
DensePrior-H16,123,0.1283465479255785,0.09447806667388663,-2.5486672805888535,0.01081354123743572,0.49458364553839723,41.06666666666667
DensePrior-H16,456,0.12625218228903715,0.09309934275244869,-2.4073940388584276,0.01606682390662728,0.4906818792633753,41.06666666666667
DensePrior-H16,789,0.12322760899622047,0.09260301615723818,-2.4398055882426792,0.01469516792839154,0.49517152333023523,41.06666666666667
DensePrior-H16,1024,0.12792844759759406,0.09686995137459771,-2.315874512328261,0.020565121327819735,0.4947917054195215,41.06666666666667
